idpedido;cliente;importe;iva;total;pais
10249;TOMSP;11.61;2.44;14.05;Alemania
10260;OTTIK;55.09;11.57;66.66;Alemania
10267;FRANK;208.58;43.80;252.38;Alemania
10273;QUICK;76.07;15.97;92.04;Alemania
10277;MORGK;125.77;26.41;152.18;Alemania
10279;LEHMS;25.83;5.42;31.25;Alemania
10284;LEHMS;76.56;16.08;92.64;Alemania
10285;QUICK;76.83;16.13;92.96;Alemania
10286;QUICK;229.24;48.14;277.38;Alemania
10301;WANDK;45.08;9.47;54.55;Alemania
10312;WANDK;40.26;8.45;48.71;Alemania
10313;QUICK;1.96;0.41;2.37;Alemania
10323;KOENE;4.88;1.02;5.90;Alemania
10325;KOENE;64.86;13.62;78.48;Alemania
10337;FRANK;108.26;22.73;130.99;Alemania
10342;FRANK;54.83;11.51;66.34;Alemania
10343;LEHMS;110.37;23.18;133.55;Alemania
10345;QUICK;249.06;52.30;301.36;Alemania
10348;WANDK;0.78;0.16;0.94;Alemania
10356;WANDK;36.71;7.71;44.42;Alemania
10361;QUICK;183.17;38.47;221.64;Alemania
10363;DRACD;30.54;6.41;36.95;Alemania
10391;DRACD;5.45;1.14;6.59;Alemania
10396;FRANK;135.35;28.42;163.77;Alemania
10407;OTTIK;91.48;19.21;110.69;Alemania
10418;QUICK;17.55;3.69;21.24;Alemania
10438;TOMSP;8.24;1.73;9.97;Alemania
10446;TOMSP;14.68;3.08;17.76;Alemania
10451;QUICK;189.09;39.71;228.80;Alemania
10456;KOENE;8.12;1.71;9.83;Alemania
10457;KOENE;11.57;2.43;14.00;Alemania
10468;KOENE;44.12;9.27;53.39;Alemania
10488;FRANK;4.93;1.04;5.97;Alemania
10497;LEHMS;36.21;7.60;43.81;Alemania
10501;BLAUS;8.85;1.86;10.71;Alemania
10506;KOENE;21.19;4.45;25.64;Alemania
10508;OTTIK;4.99;1.05;6.04;Alemania
10509;BLAUS;0.15;0.03;0.18;Alemania
10513;WANDK;105.65;22.19;127.84;Alemania
10515;QUICK;204.47;42.94;247.41;Alemania
10522;LEHMS;45.33;9.52;54.85;Alemania
10527;QUICK;41.90;8.80;50.70;Alemania
10534;LEHMS;27.94;5.87;33.81;Alemania
10536;LEHMS;58.88;12.36;71.24;Alemania
10540;QUICK;1007.64;211.60;1219.24;Alemania
10542;KOENE;10.95;2.30;13.25;Alemania
10548;TOMSP;1.43;0.30;1.73;Alemania
10549;QUICK;171.24;35.96;207.20;Alemania
10554;OTTIK;120.97;25.40;146.37;Alemania
10557;LEHMS;96.72;20.31;117.03;Alemania
10560;FRANK;36.65;7.70;44.35;Alemania
10575;MORGK;127.34;26.74;154.08;Alemania
10580;OTTIK;75.89;15.94;91.83;Alemania
10582;BLAUS;27.71;5.82;33.53;Alemania
10588;QUICK;194.67;40.88;235.55;Alemania
10592;LEHMS;32.10;6.74;38.84;Alemania
10593;LEHMS;174.20;36.58;210.78;Alemania
10608;TOMSP;27.79;5.84;33.63;Alemania
10614;BLAUS;1.93;0.41;2.34;Alemania
10623;FRANK;97.18;20.41;117.59;Alemania
10630;KOENE;32.35;6.79;39.14;Alemania
10632;WANDK;41.38;8.69;50.07;Alemania
10640;WANDK;23.55;4.95;28.50;Alemania
10643;ALFKI;29.46;6.19;35.65;Alemania
10651;WANDK;20.60;4.33;24.93;Alemania
10653;FRANK;93.25;19.58;112.83;Alemania
10658;QUICK;364.15;76.47;440.62;Alemania
10668;WANDK;47.22;9.92;57.14;Alemania
10670;FRANK;203.48;42.73;246.21;Alemania
10675;FRANK;31.85;6.69;38.54;Alemania
10684;OTTIK;145.63;30.58;176.21;Alemania
10691;QUICK;810.05;170.11;980.16;Alemania
10692;ALFKI;61.02;12.81;73.83;Alemania
10694;QUICK;398.36;83.66;482.02;Alemania
10699;MORGK;0.58;0.12;0.70;Alemania
10702;ALFKI;23.94;5.03;28.97;Alemania
10717;FRANK;59.25;12.44;71.69;Alemania
10718;KOENE;170.88;35.88;206.76;Alemania
10721;QUICK;48.92;10.27;59.19;Alemania
10745;QUICK;3.52;0.74;4.26;Alemania
10765;QUICK;42.74;8.98;51.72;Alemania
10766;OTTIK;157.55;33.09;190.64;Alemania
10772;LEHMS;91.28;19.17;110.45;Alemania
10779;MORGK;58.13;12.21;70.34;Alemania
10788;QUICK;42.70;8.97;51.67;Alemania
10791;FRANK;16.85;3.54;20.39;Alemania
10797;DRACD;33.35;7.00;40.35;Alemania
10799;KOENE;30.76;6.46;37.22;Alemania
10817;KOENE;306.07;64.27;370.34;Alemania
10825;DRACD;79.25;16.64;95.89;Alemania
10833;OTTIK;71.49;15.01;86.50;Alemania
10835;ALFKI;69.53;14.60;84.13;Alemania
10845;QUICK;212.98;44.73;257.71;Alemania
10849;KOENE;0.56;0.12;0.68;Alemania
10853;BLAUS;53.83;11.30;65.13;Alemania
10859;FRANK;76.10;15.98;92.08;Alemania
10862;LEHMS;53.23;11.18;64.41;Alemania
10865;QUICK;348.14;73.11;421.25;Alemania
10878;QUICK;46.69;9.80;56.49;Alemania
10891;LEHMS;20.37;4.28;24.65;Alemania
10893;KOENE;77.78;16.33;94.11;Alemania
10929;FRANK;33.93;7.13;41.06;Alemania
10934;LEHMS;32.01;6.72;38.73;Alemania
10938;QUICK;31.89;6.70;38.59;Alemania
10945;MORGK;10.22;2.15;12.37;Alemania
10952;ALFKI;40.42;8.49;48.91;Alemania
10956;BLAUS;44.65;9.38;54.03;Alemania
10962;QUICK;275.79;57.92;333.71;Alemania
10967;TOMSP;62.22;13.07;75.29;Alemania
10991;QUICK;38.51;8.09;46.60;Alemania
10996;QUICK;1.12;0.24;1.36;Alemania
10999;OTTIK;96.35;20.23;116.58;Alemania
11011;ALFKI;1.21;0.25;1.46;Alemania
11012;FRANK;242.95;51.02;293.97;Alemania
11020;OTTIK;43.30;9.09;52.39;Alemania
11021;QUICK;297.18;62.41;359.59;Alemania
11028;KOENE;29.59;6.21;35.80;Alemania
11036;DRACD;149.47;31.39;180.86;Alemania
11046;WANDK;71.64;15.04;86.68;Alemania
11058;BLAUS;31.14;6.54;37.68;Alemania
11067;DRACD;7.98;1.68;9.66;Alemania
11070;LEHMS;136.00;28.56;164.56;Alemania
