idpedido;cliente;importe;iva;total;pais
10409;OCEAN;29.83;6.26;36.09;Argentina
10448;RANCH;38.82;8.15;46.97;Argentina
10521;CACTU;17.22;3.62;20.84;Argentina
10531;OCEAN;8.12;1.71;9.83;Argentina
10716;RANCH;22.57;4.74;27.31;Argentina
10782;CACTU;1.10;0.23;1.33;Argentina
10819;CACTU;19.76;4.15;23.91;Argentina
10828;RANCH;90.85;19.08;109.93;Argentina
10881;CACTU;2.84;0.60;3.44;Argentina
10898;OCEAN;1.27;0.27;1.54;Argentina
10916;RANCH;63.77;13.39;77.16;Argentina
10937;CACTU;31.51;6.62;38.13;Argentina
10958;OCEAN;49.56;10.41;59.97;Argentina
10986;OCEAN;217.86;45.75;263.61;Argentina
11019;RANCH;3.17;0.67;3.84;Argentina
11054;CACTU;0.33;0.07;0.40;Argentina
