idpedido;cliente;importe;iva;total;pais
10258;ERNSH;140.51;29.51;170.02;Austria
10263;ERNSH;146.06;30.67;176.73;Austria
10351;ERNSH;162.33;34.09;196.42;Austria
10353;PICCO;360.63;75.73;436.36;Austria
10368;ERNSH;101.95;21.41;123.36;Austria
10382;ERNSH;94.77;19.90;114.67;Austria
10390;ERNSH;126.38;26.54;152.92;Austria
10392;PICCO;122.46;25.72;148.18;Austria
10402;ERNSH;67.88;14.25;82.13;Austria
10403;ERNSH;73.79;15.50;89.29;Austria
10427;PICCO;31.29;6.57;37.86;Austria
10430;ERNSH;458.78;96.34;555.12;Austria
10442;ERNSH;47.94;10.07;58.01;Austria
10489;PICCO;5.29;1.11;6.40;Austria
10514;ERNSH;789.95;165.89;955.84;Austria
10530;PICCO;339.22;71.24;410.46;Austria
10571;ERNSH;26.06;5.47;31.53;Austria
10595;ERNSH;96.78;20.32;117.10;Austria
10597;PICCO;35.12;7.38;42.50;Austria
10633;ERNSH;477.90;100.36;578.26;Austria
10667;ERNSH;78.09;16.40;94.49;Austria
10686;PICCO;96.50;20.26;116.76;Austria
10698;ERNSH;272.47;57.22;329.69;Austria
10747;PICCO;117.33;24.64;141.97;Austria
10764;ERNSH;145.45;30.54;175.99;Austria
10771;ERNSH;11.19;2.35;13.54;Austria
10773;ERNSH;96.43;20.25;116.68;Austria
10776;ERNSH;351.53;73.82;425.35;Austria
10795;ERNSH;126.66;26.60;153.26;Austria
10836;ERNSH;411.88;86.49;498.37;Austria
10844;PICCO;25.22;5.30;30.52;Austria
10854;ERNSH;100.22;21.05;121.27;Austria
10895;ERNSH;162.75;34.18;196.93;Austria
10968;ERNSH;74.60;15.67;90.27;Austria
10979;ERNSH;353.07;74.14;427.21;Austria
10990;ERNSH;117.61;24.70;142.31;Austria
11008;ERNSH;79.46;16.69;96.15;Austria
11017;ERNSH;754.26;158.39;912.65;Austria
11053;PICCO;53.05;11.14;64.19;Austria
11072;ERNSH;258.64;54.31;312.95;Austria
