idpedido;cliente;importe;iva;total;pais
10252;SUPRD;51.30;10.77;62.07;Belgica
10302;SUPRD;6.27;1.32;7.59;Belgica
10458;SUPRD;147.06;30.88;177.94;Belgica
10463;SUPRD;14.78;3.10;17.88;Belgica
10475;SUPRD;68.52;14.39;82.91;Belgica
10529;MAISD;66.69;14.00;80.69;Belgica
10649;MAISD;6.20;1.30;7.50;Belgica
10760;MAISD;155.64;32.68;188.32;Belgica
10767;SUPRD;1.59;0.33;1.92;Belgica
10841;SUPRD;424.30;89.10;513.40;Belgica
10846;SUPRD;56.46;11.86;68.32;Belgica
10885;SUPRD;5.64;1.18;6.82;Belgica
10892;MAISD;120.27;25.26;145.53;Belgica
10896;MAISD;32.45;6.81;39.26;Belgica
10930;SUPRD;15.55;3.27;18.82;Belgica
10978;MAISD;32.82;6.89;39.71;Belgica
11004;MAISD;44.84;9.42;54.26;Belgica
11035;SUPRD;0.17;0.04;0.21;Belgica
11038;SUPRD;29.59;6.21;35.80;Belgica
