idpedido;cliente;importe;iva;total;pais
10250;HANAR;65.83;13.82;79.65;Brasil
10253;HANAR;58.17;12.22;70.39;Brasil
10256;WELLI;13.97;2.93;16.90;Brasil
10261;QUEDE;3.05;0.64;3.69;Brasil
10287;RICAR;12.76;2.68;15.44;Brasil
10290;COMMI;79.70;16.74;96.44;Brasil
10291;QUEDE;6.40;1.34;7.74;Brasil
10292;TRADH;1.35;0.28;1.63;Brasil
10299;RICAR;29.76;6.25;36.01;Brasil
10347;FAMIA;3.10;0.65;3.75;Brasil
10372;QUEEN;890.78;187.06;1077.84;Brasil
10379;QUEDE;45.03;9.46;54.49;Brasil
10386;FAMIA;13.99;2.94;16.93;Brasil
10406;QUEEN;108.04;22.69;130.73;Brasil
10414;FAMIA;21.48;4.51;25.99;Brasil
10420;WELLI;44.12;9.27;53.39;Brasil
10421;QUEDE;99.23;20.84;120.07;Brasil
10423;GOURL;24.50;5.14;29.64;Brasil
10447;RICAR;68.66;14.42;83.08;Brasil
10466;COMMI;11.93;2.51;14.44;Brasil
10481;RICAR;64.33;13.51;77.84;Brasil
10487;QUEEN;71.07;14.92;85.99;Brasil
10494;COMMI;65.99;13.86;79.85;Brasil
10496;TRADH;46.77;9.82;56.59;Brasil
10512;FAMIA;3.53;0.74;4.27;Brasil
10541;HANAR;68.65;14.42;83.07;Brasil
10563;RICAR;60.43;12.69;73.12;Brasil
10581;FAMIA;3.01;0.63;3.64;Brasil
10585;WELLI;13.41;2.82;16.23;Brasil
10587;QUEDE;62.52;13.13;75.65;Brasil
10606;TRADH;79.40;16.67;96.07;Brasil
10622;RICAR;50.97;10.70;61.67;Brasil
10637;QUEEN;201.29;42.27;243.56;Brasil
10644;WELLI;0.14;0.03;0.17;Brasil
10645;HANAR;12.41;2.61;15.02;Brasil
10647;QUEDE;45.54;9.56;55.10;Brasil
10648;RICAR;14.25;2.99;17.24;Brasil
10650;FAMIA;176.81;37.13;213.94;Brasil
10652;GOURL;7.14;1.50;8.64;Brasil
10659;QUEEN;105.81;22.22;128.03;Brasil
10685;GOURL;33.75;7.09;40.84;Brasil
10690;HANAR;15.80;3.32;19.12;Brasil
10704;QUEEN;4.78;1.00;5.78;Brasil
10709;GOURL;210.80;44.27;255.07;Brasil
10720;QUEDE;9.53;2.00;11.53;Brasil
10725;FAMIA;10.83;2.27;13.10;Brasil
10728;QUEEN;58.33;12.25;70.58;Brasil
10734;GOURL;1.63;0.34;1.97;Brasil
10770;HANAR;5.32;1.12;6.44;Brasil
10777;GOURL;3.01;0.63;3.64;Brasil
10783;HANAR;124.98;26.25;151.23;Brasil
10786;QUEEN;110.87;23.28;134.15;Brasil
10790;GOURL;28.23;5.93;34.16;Brasil
10794;QUEDE;21.49;4.51;26.00;Brasil
10803;WELLI;55.23;11.60;66.83;Brasil
10809;WELLI;4.87;1.02;5.89;Brasil
10813;RICAR;47.38;9.95;57.33;Brasil
10830;TRADH;81.83;17.18;99.01;Brasil
10834;TRADH;29.78;6.25;36.03;Brasil
10839;TRADH;35.43;7.44;42.87;Brasil
10851;RICAR;160.55;33.72;194.27;Brasil
10868;QUEEN;191.27;40.17;231.44;Brasil
10877;RICAR;38.06;7.99;46.05;Brasil
10886;HANAR;4.99;1.05;6.04;Brasil
10900;WELLI;1.66;0.35;2.01;Brasil
10903;HANAR;36.71;7.71;44.42;Brasil
10905;WELLI;13.72;2.88;16.60;Brasil
10913;QUEEN;33.05;6.94;39.99;Brasil
10914;QUEEN;21.19;4.45;25.64;Brasil
10922;HANAR;62.74;13.18;75.92;Brasil
10925;HANAR;2.27;0.48;2.75;Brasil
10935;WELLI;47.59;9.99;57.58;Brasil
10959;GOURL;4.98;1.05;6.03;Brasil
10961;QUEEN;104.47;21.94;126.41;Brasil
10969;COMMI;0.21;0.04;0.25;Brasil
10981;HANAR;193.37;40.61;233.98;Brasil
10989;QUEDE;34.76;7.30;42.06;Brasil
11022;HANAR;6.27;1.32;7.59;Brasil
11042;COMMI;29.99;6.30;36.29;Brasil
11049;GOURL;8.34;1.75;10.09;Brasil
11052;HANAR;67.26;14.12;81.38;Brasil
11059;RICAR;85.80;18.02;103.82;Brasil
11068;QUEEN;81.75;17.17;98.92;Brasil
