idpedido;cliente;importe;iva;total;pais
10332;MEREP;52.84;11.10;63.94;Canada
10339;MEREP;15.66;3.29;18.95;Canada
10376;MEREP;20.39;4.28;24.67;Canada
10389;BOTTM;47.42;9.96;57.38;Canada
10410;BOTTM;2.40;0.50;2.90;Canada
10411;BOTTM;23.65;4.97;28.62;Canada
10424;MEREP;370.61;77.83;448.44;Canada
10431;BOTTM;44.17;9.28;53.45;Canada
10439;MEREP;4.07;0.85;4.92;Canada
10492;BOTTM;62.89;13.21;76.10;Canada
10495;LAUGB;4.65;0.98;5.63;Canada
10505;MEREP;7.13;1.50;8.63;Canada
10565;MEREP;7.15;1.50;8.65;Canada
10570;MEREP;188.99;39.69;228.68;Canada
10590;MEREP;44.77;9.40;54.17;Canada
10605;MEREP;379.13;79.62;458.75;Canada
10618;MEREP;154.68;32.48;187.16;Canada
10619;MEREP;91.05;19.12;110.17;Canada
10620;LAUGB;0.94;0.20;1.14;Canada
10724;MEREP;57.75;12.13;69.88;Canada
10742;BOTTM;243.73;51.18;294.91;Canada
10810;LAUGB;4.33;0.91;5.24;Canada
10918;BOTTM;48.83;10.25;59.08;Canada
10944;BOTTM;52.92;11.11;64.03;Canada
10949;BOTTM;74.44;15.63;90.07;Canada
10975;BOTTM;32.27;6.78;39.05;Canada
10982;BOTTM;14.01;2.94;16.95;Canada
11027;BOTTM;52.52;11.03;63.55;Canada
11045;BOTTM;70.58;14.82;85.40;Canada
11048;BOTTM;24.12;5.07;29.19;Canada
