idpedido;cliente;importe;iva;total;pais
10341;SIMOB;26.78;5.62;32.40;Dinamarca
10367;VAFFE;13.55;2.85;16.40;Dinamarca
10399;VAFFE;27.36;5.75;33.11;Dinamarca
10417;SIMOB;70.29;14.76;85.05;Dinamarca
10465;VAFFE;145.04;30.46;175.50;Dinamarca
10556;SIMOB;9.80;2.06;11.86;Dinamarca
10591;VAFFE;55.92;11.74;67.66;Dinamarca
10602;VAFFE;2.92;0.61;3.53;Dinamarca
10642;SIMOB;41.89;8.80;50.69;Dinamarca
10669;SIMOB;24.39;5.12;29.51;Dinamarca
10688;VAFFE;299.09;62.81;361.90;Dinamarca
10744;VAFFE;69.19;14.53;83.72;Dinamarca
10769;VAFFE;65.06;13.66;78.72;Dinamarca
10802;SIMOB;257.26;54.02;311.28;Dinamarca
10921;VAFFE;176.48;37.06;213.54;Dinamarca
10946;VAFFE;27.20;5.71;32.91;Dinamarca
10994;VAFFE;65.53;13.76;79.29;Dinamarca
11074;SIMOB;18.44;3.87;22.31;Dinamarca
