idpedido;cliente;importe;iva;total;pais
10281;ROMEY;2.94;0.62;3.56;Espanya
10282;ROMEY;12.69;2.66;15.35;Espanya
10303;GODOS;107.83;22.64;130.47;Espanya
10306;ROMEY;7.56;1.59;9.15;Espanya
10326;BOLID;77.92;16.36;94.28;Espanya
10366;GALED;10.14;2.13;12.27;Espanya
10426;GALED;18.69;3.92;22.61;Espanya
10550;GODOS;4.32;0.91;5.23;Espanya
10568;GALED;6.54;1.37;7.91;Espanya
10629;GODOS;85.46;17.95;103.41;Espanya
10801;BOLID;97.09;20.39;117.48;Espanya
10872;GODOS;175.32;36.82;212.14;Espanya
10874;GODOS;19.58;4.11;23.69;Espanya
10887;GALED;1.25;0.26;1.51;Espanya
10888;GODOS;51.87;10.89;62.76;Espanya
10911;GODOS;38.19;8.02;46.21;Espanya
10917;ROMEY;8.29;1.74;10.03;Espanya
10928;GALED;1.36;0.29;1.65;Espanya
10948;GODOS;23.39;4.91;28.30;Espanya
10970;BOLID;16.16;3.39;19.55;Espanya
11009;GODOS;59.11;12.41;71.52;Espanya
11013;ROMEY;32.99;6.93;39.92;Espanya
11037;GODOS;3.20;0.67;3.87;Espanya
