idpedido;cliente;importe;iva;total;pais
10262;RATTC;48.29;10.14;58.43;Estados Unidos
10269;WHITC;4.56;0.96;5.52;Estados Unidos
10271;SPLIR;4.54;0.95;5.49;Estados Unidos
10272;RATTC;98.03;20.59;118.62;Estados Unidos
10294;RATTC;147.26;30.92;178.18;Estados Unidos
10305;OLDWO;257.62;54.10;311.72;Estados Unidos
10307;LONEP;0.56;0.12;0.68;Estados Unidos
10310;THEBI;17.52;3.68;21.20;Estados Unidos
10314;RATTC;74.16;15.57;89.73;Estados Unidos
10316;RATTC;150.15;31.53;181.68;Estados Unidos
10317;LONEP;12.69;2.66;15.35;Estados Unidos
10324;SAVEA;214.27;45.00;259.27;Estados Unidos
10329;SPLIR;191.67;40.25;231.92;Estados Unidos
10338;OLDWO;84.21;17.68;101.89;Estados Unidos
10344;WHITC;23.29;4.89;28.18;Estados Unidos
10346;RATTC;142.08;29.84;171.92;Estados Unidos
10349;SPLIR;8.63;1.81;10.44;Estados Unidos
10369;SPLIR;195.68;41.09;236.77;Estados Unidos
10375;HUNGC;20.12;4.23;24.35;Estados Unidos
10385;SPLIR;30.96;6.50;37.46;Estados Unidos
10393;SAVEA;126.56;26.58;153.14;Estados Unidos
10394;HUNGC;30.34;6.37;36.71;Estados Unidos
10398;SAVEA;89.16;18.72;107.88;Estados Unidos
10401;RATTC;12.51;2.63;15.14;Estados Unidos
10415;HUNGC;0.20;0.04;0.24;Estados Unidos
10432;SPLIR;4.34;0.91;5.25;Estados Unidos
10440;SAVEA;86.53;18.17;104.70;Estados Unidos
10441;OLDWO;73.02;15.33;88.35;Estados Unidos
10452;SAVEA;140.26;29.45;169.71;Estados Unidos
10469;WHITC;60.18;12.64;72.82;Estados Unidos
10479;RATTC;708.95;148.88;857.83;Estados Unidos
10482;LAZYK;7.48;1.57;9.05;Estados Unidos
10483;WHITC;15.28;3.21;18.49;Estados Unidos
10504;WHITC;59.13;12.42;71.55;Estados Unidos
10510;SAVEA;367.63;77.20;444.83;Estados Unidos
10528;GREAL;3.35;0.70;4.05;Estados Unidos
10544;LONEP;24.91;5.23;30.14;Estados Unidos
10545;LAZYK;11.92;2.50;14.42;Estados Unidos
10555;SAVEA;252.49;53.02;305.51;Estados Unidos
10564;RATTC;13.75;2.89;16.64;Estados Unidos
10569;RATTC;58.98;12.39;71.37;Estados Unidos
10574;TRAIH;37.60;7.90;45.50;Estados Unidos
10577;TRAIH;25.41;5.34;30.75;Estados Unidos
10579;LETSS;13.73;2.88;16.61;Estados Unidos
10589;GREAL;4.42;0.93;5.35;Estados Unidos
10594;OLDWO;5.24;1.10;6.34;Estados Unidos
10596;WHITC;16.34;3.43;19.77;Estados Unidos
10598;RATTC;44.42;9.33;53.75;Estados Unidos
10600;HUNGC;45.13;9.48;54.61;Estados Unidos
10603;SAVEA;48.77;10.24;59.01;Estados Unidos
10607;SAVEA;200.24;42.05;242.29;Estados Unidos
10612;SAVEA;544.08;114.26;658.34;Estados Unidos
10616;GREAL;116.53;24.47;141.00;Estados Unidos
10617;GREAL;18.53;3.89;22.42;Estados Unidos
10624;THECR;94.80;19.91;114.71;Estados Unidos
10627;SAVEA;107.46;22.57;130.03;Estados Unidos
10656;GREAL;57.15;12.00;69.15;Estados Unidos
10657;SAVEA;352.69;74.06;426.75;Estados Unidos
10660;HUNGC;111.29;23.37;134.66;Estados Unidos
10662;LONEP;1.28;0.27;1.55;Estados Unidos
10665;LONEP;26.31;5.53;31.84;Estados Unidos
10678;SAVEA;388.98;81.69;470.67;Estados Unidos
10680;OLDWO;26.61;5.59;32.20;Estados Unidos
10681;GREAL;76.13;15.99;92.12;Estados Unidos
10693;WHITC;139.34;29.26;168.60;Estados Unidos
10696;WHITC;102.55;21.54;124.09;Estados Unidos
10700;SAVEA;65.10;13.67;78.77;Estados Unidos
10706;OLDWO;135.63;28.48;164.11;Estados Unidos
10708;THEBI;2.96;0.62;3.58;Estados Unidos
10711;SAVEA;52.41;11.01;63.42;Estados Unidos
10713;SAVEA;167.05;35.08;202.13;Estados Unidos
10714;SAVEA;24.49;5.14;29.63;Estados Unidos
10719;LETSS;51.44;10.80;62.24;Estados Unidos
10722;SAVEA;74.58;15.66;90.24;Estados Unidos
10723;WHITC;21.72;4.56;26.28;Estados Unidos
10735;LETSS;45.97;9.65;55.62;Estados Unidos
10740;WHITC;81.88;17.19;99.07;Estados Unidos
10748;SAVEA;232.55;48.84;281.39;Estados Unidos
10756;SPLIR;73.21;15.37;88.58;Estados Unidos
10757;SAVEA;8.19;1.72;9.91;Estados Unidos
10761;RATTC;18.66;3.92;22.58;Estados Unidos
10775;THECR;20.25;4.25;24.50;Estados Unidos
10805;THEBI;237.34;49.84;287.18;Estados Unidos
10808;OLDWO;45.53;9.56;55.09;Estados Unidos
10815;SAVEA;14.62;3.07;17.69;Estados Unidos
10816;GREAL;719.78;151.15;870.93;Estados Unidos
10820;RATTC;37.52;7.88;45.40;Estados Unidos
10821;SPLIR;36.68;7.70;44.38;Estados Unidos
10822;TRAIH;7.00;1.47;8.47;Estados Unidos
10847;SAVEA;487.57;102.39;589.96;Estados Unidos
10852;RATTC;174.05;36.55;210.60;Estados Unidos
10855;OLDWO;170.97;35.90;206.87;Estados Unidos
10861;WHITC;14.93;3.14;18.07;Estados Unidos
10867;LONEP;1.93;0.41;2.34;Estados Unidos
10870;WHITC;12.04;2.53;14.57;Estados Unidos
10882;SAVEA;23.10;4.85;27.95;Estados Unidos
10883;LONEP;0.53;0.11;0.64;Estados Unidos
10884;LETSS;90.97;19.10;110.07;Estados Unidos
10889;RATTC;280.61;58.93;339.54;Estados Unidos
10894;SAVEA;116.13;24.39;140.52;Estados Unidos
10904;WHITC;162.95;34.22;197.17;Estados Unidos
10936;GREAL;33.68;7.07;40.75;Estados Unidos
10941;SAVEA;400.81;84.17;484.98;Estados Unidos
10965;OLDWO;144.38;30.32;174.70;Estados Unidos
10974;SPLIR;12.96;2.72;15.68;Estados Unidos
10983;SAVEA;657.54;138.08;795.62;Estados Unidos
10984;SAVEA;211.22;44.36;255.58;Estados Unidos
10988;RATTC;61.14;12.84;73.98;Estados Unidos
10992;THEBI;4.27;0.90;5.17;Estados Unidos
11000;RATTC;55.12;11.58;66.70;Estados Unidos
11002;SAVEA;141.16;29.64;170.80;Estados Unidos
11003;THECR;14.91;3.13;18.04;Estados Unidos
11006;GREAL;25.19;5.29;30.48;Estados Unidos
11018;LONEP;11.65;2.45;14.10;Estados Unidos
11030;SAVEA;830.75;174.46;1005.21;Estados Unidos
11031;SAVEA;227.22;47.72;274.94;Estados Unidos
11032;WHITC;606.19;127.30;733.49;Estados Unidos
11034;OLDWO;40.32;8.47;48.79;Estados Unidos
11040;GREAL;18.84;3.96;22.80;Estados Unidos
11061;GREAL;14.01;2.94;16.95;Estados Unidos
11064;SAVEA;30.09;6.32;36.41;Estados Unidos
11066;WHITC;44.72;9.39;54.11;Estados Unidos
11077;RATTC;8.53;1.79;10.32;Estados Unidos
