idpedido;cliente;importe;iva;total;pais
10248;WILMK;32.38;6.80;39.18;Finlandia
10266;WARTH;25.73;5.40;31.13;Finlandia
10270;WARTH;136.54;28.67;165.21;Finlandia
10320;WARTH;34.57;7.26;41.83;Finlandia
10333;WARTH;0.59;0.12;0.71;Finlandia
10412;WARTH;3.77;0.79;4.56;Finlandia
10416;WARTH;22.72;4.77;27.49;Finlandia
10437;WARTH;19.97;4.19;24.16;Finlandia
10455;WARTH;180.45;37.89;218.34;Finlandia
10526;WARTH;58.59;12.30;70.89;Finlandia
10553;WARTH;149.49;31.39;180.88;Finlandia
10583;WARTH;7.28;1.53;8.81;Finlandia
10615;WILMK;0.75;0.16;0.91;Finlandia
10636;WARTH;1.15;0.24;1.39;Finlandia
10673;WILMK;22.76;4.78;27.54;Finlandia
10695;WILMK;16.72;3.51;20.23;Finlandia
10750;WARTH;79.30;16.65;95.95;Finlandia
10781;WARTH;73.16;15.36;88.52;Finlandia
10873;WILMK;0.82;0.17;0.99;Finlandia
10879;WILMK;8.50;1.78;10.28;Finlandia
10910;WILMK;38.11;8.00;46.11;Finlandia
11005;WILMK;0.75;0.16;0.91;Finlandia
11025;WARTH;29.17;6.13;35.30;Finlandia
