idpedido;cliente;importe;iva;total;pais
10298;HUNGO;168.22;35.33;203.55;Irlanda
10309;HUNGO;47.30;9.93;57.23;Irlanda
10335;HUNGO;42.11;8.84;50.95;Irlanda
10373;HUNGO;124.12;26.07;150.19;Irlanda
10380;HUNGO;35.03;7.36;42.39;Irlanda
10429;HUNGO;56.63;11.89;68.52;Irlanda
10503;HUNGO;16.74;3.52;20.26;Irlanda
10516;HUNGO;62.78;13.18;75.96;Irlanda
10567;HUNGO;33.97;7.13;41.10;Irlanda
10646;HUNGO;142.33;29.89;172.22;Irlanda
10661;HUNGO;17.55;3.69;21.24;Irlanda
10687;HUNGO;296.43;62.25;358.68;Irlanda
10701;HUNGO;220.31;46.27;266.58;Irlanda
10712;HUNGO;89.93;18.89;108.82;Irlanda
10736;HUNGO;44.10;9.26;53.36;Irlanda
10897;HUNGO;603.54;126.74;730.28;Irlanda
10912;HUNGO;580.91;121.99;702.90;Irlanda
10985;HUNGO;91.51;19.22;110.73;Irlanda
11063;HUNGO;81.73;17.16;98.89;Irlanda
