idpedido;cliente;importe;iva;total;pais
10275;MAGAA;26.93;5.66;32.59;Italia
10288;REGGC;7.45;1.56;9.01;Italia
10300;MAGAA;17.68;3.71;21.39;Italia
10404;MAGAA;155.97;32.75;188.72;Italia
10422;FRANS;3.02;0.63;3.65;Italia
10428;REGGC;11.09;2.33;13.42;Italia
10443;REGGC;13.95;2.93;16.88;Italia
10467;MAGAA;4.93;1.04;5.97;Italia
10562;REGGC;22.95;4.82;27.77;Italia
10586;REGGC;0.48;0.10;0.58;Italia
10635;MAGAA;47.46;9.97;57.43;Italia
10655;REGGC;4.41;0.93;5.34;Italia
10710;FRANS;4.98;1.05;6.03;Italia
10727;REGGC;89.90;18.88;108.78;Italia
10753;FRANS;7.70;1.62;9.32;Italia
10754;MAGAA;2.38;0.50;2.88;Italia
10784;MAGAA;70.09;14.72;84.81;Italia
10807;FRANS;1.36;0.29;1.65;Italia
10812;REGGC;59.78;12.55;72.33;Italia
10818;MAGAA;65.48;13.75;79.23;Italia
10908;REGGC;32.96;6.92;39.88;Italia
10939;MAGAA;76.33;16.03;92.36;Italia
10942;REGGC;17.95;3.77;21.72;Italia
10950;MAGAA;2.50;0.52;3.02;Italia
11010;REGGC;28.71;6.03;34.74;Italia
11026;FRANS;47.09;9.89;56.98;Italia
11060;FRANS;10.98;2.31;13.29;Italia
11062;REGGC;29.93;6.29;36.22;Italia
