idpedido;cliente;importe;iva;total;pais
10259;CENTC;3.25;0.68;3.93;Mexico
10276;TORTU;13.84;2.91;16.75;Mexico
10293;TORTU;21.18;4.45;25.63;Mexico
10304;TORTU;63.79;13.40;77.19;Mexico
10308;ANATR;1.61;0.34;1.95;Mexico
10319;TORTU;64.50;13.54;78.04;Mexico
10322;PERIC;0.40;0.08;0.48;Mexico
10354;PERIC;53.80;11.30;65.10;Mexico
10365;ANTON;22.00;4.62;26.62;Mexico
10474;PERIC;83.49;17.53;101.02;Mexico
10502;PERIC;69.32;14.56;83.88;Mexico
10507;ANTON;47.45;9.96;57.41;Mexico
10518;TORTU;218.15;45.81;263.96;Mexico
10535;ANTON;15.64;3.28;18.92;Mexico
10573;ANTON;84.84;17.82;102.66;Mexico
10576;TORTU;18.56;3.90;22.46;Mexico
10625;ANATR;43.90;9.22;53.12;Mexico
10676;TORTU;2.01;0.42;2.43;Mexico
10677;ANTON;4.03;0.85;4.88;Mexico
10682;ANTON;36.13;7.59;43.72;Mexico
10759;ANATR;11.99;2.52;14.51;Mexico
10842;TORTU;54.42;11.43;65.85;Mexico
10856;ANTON;58.43;12.27;70.70;Mexico
10915;TORTU;3.51;0.74;4.25;Mexico
10926;ANATR;39.92;8.38;48.30;Mexico
10995;PERIC;46.00;9.66;55.66;Mexico
11069;TORTU;15.67;3.29;18.96;Mexico
11073;PERIC;24.95;5.24;30.19;Mexico
