idpedido;cliente;importe;iva;total;pais
10328;FURIB;87.03;18.28;105.31;Portugal
10336;PRINI;15.51;3.26;18.77;Portugal
10352;FURIB;1.30;0.27;1.57;Portugal
10397;PRINI;60.26;12.65;72.91;Portugal
10433;PRINI;73.83;15.50;89.33;Portugal
10464;FURIB;89.00;18.69;107.69;Portugal
10477;PRINI;13.02;2.73;15.75;Portugal
10491;FURIB;16.96;3.56;20.52;Portugal
10551;FURIB;72.95;15.32;88.27;Portugal
10604;FURIB;7.46;1.57;9.03;Portugal
10664;FURIB;1.27;0.27;1.54;Portugal
10963;FURIB;2.70;0.57;3.27;Portugal
11007;PRINI;202.24;42.47;244.71;Portugal
