idpedido;cliente;idempleado;idempresa;importe;pais;porc_iva;iva;total
10248;WILMK;5;3;32.38;Finlandia;0.21;6.80;39.18
10249;TOMSP;6;1;11.61;Alemania;0.21;2.44;14.05
10250;HANAR;4;2;65.83;Brasil;0.21;13.82;79.65
10251;VICTE;3;1;41.34;Francia;0.21;8.68;50.02
10252;SUPRD;4;2;51.30;Belgica;0.21;10.77;62.07
10253;HANAR;3;2;58.17;Brasil;0.21;12.22;70.39
10254;CHOPS;5;2;22.98;Suiza;0.21;4.83;27.81
10255;RICSU;9;3;148.33;Suiza;0.21;31.15;179.48
10256;WELLI;3;2;13.97;Brasil;0.21;2.93;16.90
10257;HILAA;4;3;81.91;Venezuela;0.21;17.20;99.11
10258;ERNSH;1;1;140.51;Austria;0.21;29.51;170.02
10259;CENTC;4;3;3.25;Mexico;0.21;0.68;3.93
10260;OTTIK;4;1;55.09;Alemania;0.21;11.57;66.66
10261;QUEDE;4;2;3.05;Brasil;0.21;0.64;3.69
10262;RATTC;8;3;48.29;Estados Unidos;0.21;10.14;58.43
10263;ERNSH;9;3;146.06;Austria;0.21;30.67;176.73
10264;FOLKO;6;3;3.67;Suecia;0.21;0.77;4.44
10265;BLONP;2;1;55.28;Francia;0.21;11.61;66.89
10266;WARTH;3;3;25.73;Finlandia;0.21;5.40;31.13
10267;FRANK;4;1;208.58;Alemania;0.21;43.80;252.38
10268;GROSR;8;3;66.29;Venezuela;0.21;13.92;80.21
10269;WHITC;5;1;4.56;Estados Unidos;0.21;0.96;5.52
10270;WARTH;1;1;136.54;Finlandia;0.21;28.67;165.21
10271;SPLIR;6;2;4.54;Estados Unidos;0.21;0.95;5.49
10272;RATTC;6;2;98.03;Estados Unidos;0.21;20.59;118.62
10273;QUICK;3;3;76.07;Alemania;0.21;15.97;92.04
10274;VINET;6;1;6.01;Francia;0.21;1.26;7.27
10275;MAGAA;1;1;26.93;Italia;0.21;5.66;32.59
10276;TORTU;8;3;13.84;Mexico;0.21;2.91;16.75
10277;MORGK;2;3;125.77;Alemania;0.21;26.41;152.18
10278;BERGS;8;2;92.69;Suecia;0.21;19.46;112.15
10279;LEHMS;8;2;25.83;Alemania;0.21;5.42;31.25
10280;BERGS;2;1;8.98;Suecia;0.21;1.89;10.87
10281;ROMEY;4;1;2.94;Espanya;0.21;0.62;3.56
10282;ROMEY;4;1;12.69;Espanya;0.21;2.66;15.35
10283;LILAS;3;3;84.81;Venezuela;0.21;17.81;102.62
10284;LEHMS;4;1;76.56;Alemania;0.21;16.08;92.64
10285;QUICK;1;2;76.83;Alemania;0.21;16.13;92.96
10286;QUICK;8;3;229.24;Alemania;0.21;48.14;277.38
10287;RICAR;8;3;12.76;Brasil;0.21;2.68;15.44
10288;REGGC;4;1;7.45;Italia;0.21;1.56;9.01
10289;BSBEV;7;3;22.77;Reino Unido;0.21;4.78;27.55
10290;COMMI;8;1;79.70;Brasil;0.21;16.74;96.44
10291;QUEDE;6;2;6.40;Brasil;0.21;1.34;7.74
10292;TRADH;1;2;1.35;Brasil;0.21;0.28;1.63
10293;TORTU;1;3;21.18;Mexico;0.21;4.45;25.63
10294;RATTC;4;2;147.26;Estados Unidos;0.21;30.92;178.18
10295;VINET;2;2;1.15;Francia;0.21;0.24;1.39
10296;LILAS;6;1;0.12;Venezuela;0.21;0.03;0.15
10297;BLONP;5;2;5.74;Francia;0.21;1.21;6.95
10298;HUNGO;6;2;168.22;Irlanda;0.21;35.33;203.55
10299;RICAR;4;2;29.76;Brasil;0.21;6.25;36.01
10300;MAGAA;2;2;17.68;Italia;0.21;3.71;21.39
10301;WANDK;8;2;45.08;Alemania;0.21;9.47;54.55
10302;SUPRD;4;2;6.27;Belgica;0.21;1.32;7.59
10303;GODOS;7;2;107.83;Espanya;0.21;22.64;130.47
10304;TORTU;1;2;63.79;Mexico;0.21;13.40;77.19
